UUID OLD (ILCD 2016),uuid_ecoinvent37
a7851ba6-728c-4156-b7df-90e41816032c,db4566b1-bd88-427d-92da-2d25879063b9
ac526bc3-f867-4862-9b89-9e6dea51175d,db4566b1-bd88-427d-92da-2d25879063b9
ac67851e-0db8-42e2-b19f-3f8fb9b6388d,db4566b1-bd88-427d-92da-2d25879063b9
ae1fbecf-ec80-428d-bd4d-ebb6c7c358e0,db4566b1-bd88-427d-92da-2d25879063b9
aea6f1d1-fc08-4f27-99ad-4a38124cfff1,db4566b1-bd88-427d-92da-2d25879063b9
b09b06c4-df5d-48bc-bf3e-a211d64a0bcd,db4566b1-bd88-427d-92da-2d25879063b9
b147085e-db59-4d57-b3a2-9c213e35292a,db4566b1-bd88-427d-92da-2d25879063b9
b22949eb-c075-46b9-842a-25e2dac0c41a,db4566b1-bd88-427d-92da-2d25879063b9
b3170eb6-a4ed-4dfd-b63c-0a26b08c60f2,db4566b1-bd88-427d-92da-2d25879063b9
b37560e0-76e7-49cd-955b-ad3340a6bf29,db4566b1-bd88-427d-92da-2d25879063b9
b82f806b-8f6e-47b0-b116-762a5b6bf443,db4566b1-bd88-427d-92da-2d25879063b9
b88703f3-a48f-4805-9fd0-be8eb9c43a1e,db4566b1-bd88-427d-92da-2d25879063b9
b97d6c11-dcc6-4d35-8efc-226fb365632e,db4566b1-bd88-427d-92da-2d25879063b9
bacebf2f-60b4-48d3-bb5b-8627b1553650,db4566b1-bd88-427d-92da-2d25879063b9
baef8fca-f8f0-4613-a4c6-235a645d5473,db4566b1-bd88-427d-92da-2d25879063b9
bd62e289-5679-4ce4-9670-9b2c6de1a7a4,db4566b1-bd88-427d-92da-2d25879063b9
be448590-0ca3-4cfe-94d3-212fd917f4e4,db4566b1-bd88-427d-92da-2d25879063b9
bee856b5-6ec7-4e8c-affd-8751c1c7bc90,db4566b1-bd88-427d-92da-2d25879063b9
bfae40bc-f917-4efc-a941-a277a1644084,db4566b1-bd88-427d-92da-2d25879063b9
c2b8c027-ec3c-4d65-904d-91b0f97657db,db4566b1-bd88-427d-92da-2d25879063b9
c303caa2-f0f2-4afb-b6e6-1851e3537ad3,db4566b1-bd88-427d-92da-2d25879063b9
c39ee752-ad0a-4244-8df1-8417fc30e669,db4566b1-bd88-427d-92da-2d25879063b9
c4becbf2-106a-401d-acc7-65768c9a2a37,db4566b1-bd88-427d-92da-2d25879063b9
